town_number,town‪_‬name,region_number,region,sector_number,sector,muni_number,muni,total,age_0-6,age_6-18,age_19-45,age_46-55,age_56-64,age_65+
0         ,לא רשום                  ,0         ,לא ידוע                  ,0         ,                         ,0         ,                         ,17287     ,198       ,564       ,975       ,675       ,625       ,14250
7         ,שחר                      ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,748       ,71        ,190       ,259       ,85        ,53        ,90
10        ,תירוש                    ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,466       ,37        ,103       ,159       ,67        ,44        ,56
11        ,ניר ח"ן                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,601       ,48        ,149       ,193       ,71        ,55        ,85
13        ,חצבה                     ,62        ,באר שבע                  ,63        ,אילת                     ,54        ,הערבה התיכונה            ,669       ,81        ,144       ,224       ,50        ,46        ,124
15        ,נועם                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,34        ,שפיר                     ,447       ,43        ,101       ,162       ,43        ,35        ,63
16        ,בית ניר                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,35        ,יואב                     ,669       ,41        ,204       ,203       ,111       ,39        ,71
18        ,שדה משה                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,618       ,70        ,154       ,216       ,57        ,64        ,57
21        ,באר אורה                 ,62        ,באר שבע                  ,63        ,אילת                     ,53        ,חבל אילות                ,894       ,76        ,332       ,276       ,150       ,34        ,26
22        ,מקווה ישראל              ,53        ,חולון                    ,53        ,חולון                    ,0         ,                         ,215       ,18        ,39        ,79        ,23        ,20        ,36
23        ,אמציה                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,494       ,66        ,145       ,198       ,36        ,18        ,31
24        ,לכיש                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,785       ,46        ,209       ,233       ,159       ,39        ,99
26        ,ראש פינה                 ,21        ,צפת                      ,21        ,צפת                      ,0         ,                         ,3267      ,260       ,615       ,1166      ,412       ,295       ,519
27        ,שדות מיכה                ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,408       ,39        ,104       ,133       ,46        ,39        ,47
28        ,מזכרת בתיה               ,44        ,רחובות                   ,44        ,רחובות                   ,0         ,                         ,15550     ,1408      ,4092      ,5511      ,2036      ,1147      ,1356
29        ,יסוד המעלה               ,21        ,צפת                      ,21        ,צפת                      ,0         ,                         ,1693      ,134       ,364       ,586       ,229       ,156       ,224
31        ,אופקים                   ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,30844     ,3770      ,6706      ,11680     ,2907      ,2505      ,3276
32        ,עוצם                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,605       ,67        ,119       ,209       ,72        ,61        ,77
33        ,בת שלמה                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,665       ,56        ,173       ,234       ,88        ,59        ,55
35        ,גדות                     ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,490       ,47        ,65        ,182       ,52        ,41        ,103
36        ,שדה דוד                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,582       ,75        ,132       ,206       ,55        ,41        ,73
37        ,איתן                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,34        ,שפיר                     ,507       ,54        ,124       ,178       ,60        ,43        ,48
38        ,כרי דשא                  ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,4         ,0         ,0         ,0         ,1         ,1         ,2
39        ,גפן                      ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,394       ,50        ,86        ,136       ,37        ,33        ,52
41        ,אליכין                   ,41        ,השרון                    ,32        ,חדרה                     ,0         ,                         ,3754      ,342       ,821       ,1279      ,487       ,376       ,449
43        ,מטולה                    ,21        ,צפת                      ,21        ,צפת                      ,0         ,                         ,1750      ,87        ,249       ,765       ,177       ,209       ,263
44        ,זוהר                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,383       ,44        ,75        ,146       ,25        ,45        ,48
46        ,יבנאל                    ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,4364      ,600       ,1316      ,1427      ,368       ,302       ,351
47        ,כפר תבור                 ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,4542      ,347       ,1069      ,1585      ,577       ,445       ,519
48        ,מנחמיה                   ,22        ,כנרת                     ,22        ,טבריה                    ,7         ,עמק המעיינות             ,1238      ,114       ,192       ,470       ,134       ,155       ,173
49        ,אילניה                   ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,607       ,51        ,105       ,223       ,89        ,65        ,74
52        ,לוזית                    ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,716       ,94        ,208       ,246       ,82        ,49        ,37
53        ,עתלית                    ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,7517      ,670       ,1675      ,2622      ,868       ,680       ,1002
55        ,נוגה                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,566       ,54        ,126       ,195       ,60        ,40        ,91
57        ,כנרת )קבוצה(             ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,848       ,64        ,148       ,298       ,91        ,68        ,179
58        ,מצפה                     ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,158       ,11        ,17        ,59        ,18        ,19        ,34
59        ,נחושה                    ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,1420      ,150       ,595       ,494       ,106       ,51        ,24
62        ,דגניה א'                 ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,694       ,60        ,98        ,252       ,71        ,59        ,154
63        ,כנרת )מושבה(             ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,661       ,37        ,117       ,231       ,81        ,107       ,88
64        ,יד רמב"ם                 ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,1189      ,113       ,267       ,428       ,138       ,109       ,134
65        ,מגדל                     ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,1987      ,181       ,439       ,723       ,212       ,212       ,220
66        ,מרחביה )קיבוץ(           ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1301      ,104       ,292       ,440       ,152       ,106       ,207
67        ,אור הנר                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,37        ,שער הנגב                 ,892       ,86        ,192       ,351       ,97        ,71        ,95
69        ,ניר עוז                  ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,493       ,64        ,84        ,166       ,51        ,25        ,103
70        ,אשדוד                    ,61        ,אשקלון                   ,69        ,אשדוד                    ,0         ,                         ,251343    ,22555     ,51103     ,86198     ,28105     ,23131     ,40251
71        ,אשבול                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,42        ,מרחבים                   ,589       ,64        ,154       ,210       ,59        ,38        ,64
72        ,גן שמואל                 ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,1192      ,93        ,179       ,403       ,146       ,109       ,262
74        ,עין הוד                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,663       ,44        ,129       ,208       ,120       ,51        ,111
76        ,כפר גלעדי                ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,752       ,55        ,117       ,253       ,104       ,45        ,178
77        ,איילת השחר               ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,1162      ,65        ,244       ,396       ,153       ,88        ,216
78        ,קרית ענבים               ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,397       ,23        ,64        ,137       ,56        ,36        ,81
79        ,דגניה ב'                 ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,789       ,54        ,174       ,242       ,122       ,48        ,149
80        ,נהלל                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,997       ,90        ,192       ,369       ,90        ,98        ,158
82        ,עין חרוד )מאוחד(         ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,902       ,50        ,149       ,330       ,94        ,84        ,195
84        ,תל יוסף                  ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,552       ,47        ,125       ,181       ,54        ,42        ,103
85        ,כפר יחזקאל               ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,1089      ,104       ,286       ,382       ,110       ,72        ,135
86        ,גבע                      ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,737       ,60        ,119       ,263       ,83        ,80        ,132
88        ,כרם בן שמן               ,43        ,רמלה                     ,43        ,רמלה                     ,25        ,חבל מודיעין              ,89        ,13        ,16        ,27        ,3         ,9         ,21
89        ,עין חרוד )איחוד(         ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,746       ,64        ,112       ,241       ,91        ,61        ,177
90        ,חפצי-בה                  ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,809       ,76        ,154       ,271       ,80        ,68        ,160
92        ,גיניגר                   ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,807       ,66        ,148       ,282       ,88        ,85        ,138
94        ,בלפוריה                  ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,557       ,53        ,119       ,211       ,59        ,36        ,79
95        ,בית אלפא                 ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,851       ,63        ,144       ,295       ,87        ,67        ,195
96        ,יגור                     ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,1800      ,146       ,286       ,731       ,190       ,138       ,309
97        ,מרחביה )מושב(            ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,767       ,41        ,179       ,263       ,112       ,70        ,102
98        ,כפר מל"ל                 ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,380       ,36        ,58        ,132       ,43        ,36        ,75
99        ,מצפה רמון                ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,5630      ,619       ,1201      ,2213      ,547       ,441       ,609
102       ,מאיר שפיה                ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,149       ,7         ,27        ,61        ,12        ,22        ,20
103       ,תל עדשים                 ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1310      ,115       ,371       ,458       ,174       ,93        ,99
104       ,מזרע                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,912       ,77        ,133       ,288       ,102       ,102       ,210
106       ,כפר גדעון                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,331       ,43        ,114       ,105       ,15        ,23        ,31
107       ,כפר סילבר                ,61        ,אשקלון                   ,61        ,אשקלון                   ,36        ,חוף אשקלון               ,138       ,11        ,24        ,71        ,10        ,14        ,8
112       ,כפר חסידים א'            ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,816       ,91        ,189       ,262       ,69        ,68        ,137
113       ,אדירים                   ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,332       ,27        ,82        ,111       ,42        ,32        ,38
115       ,חופית                    ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,965       ,48        ,193       ,278       ,155       ,88        ,203
122       ,רמת ישי                  ,23        ,עפולה                    ,23        ,עפולה                    ,0         ,                         ,7877      ,639       ,1587      ,2864      ,916       ,885       ,986
126       ,שריד                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1127      ,81        ,244       ,359       ,119       ,71        ,253
127       ,רמת רחל                  ,11        ,ירושלים                  ,11        ,ירושלים                  ,26        ,מטה יהודה                ,533       ,60        ,96        ,201       ,58        ,64        ,54
128       ,גת רימון                 ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,20        ,דרום השרון               ,267       ,27        ,46        ,90        ,26        ,24        ,54
130       ,משמר העמק                ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,1378      ,109       ,195       ,513       ,172       ,118       ,271
132       ,כפר ברוך                 ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,605       ,71        ,174       ,208       ,56        ,24        ,72
133       ,גבת                      ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,986       ,92        ,201       ,321       ,102       ,82        ,188
134       ,יפעת                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1169      ,89        ,260       ,373       ,161       ,76        ,210
135       ,רמת דוד                  ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,659       ,75        ,167       ,233       ,58        ,36        ,90
139       ,עין שמר                  ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,772       ,47        ,113       ,280       ,76        ,60        ,196
140       ,כפר יהושע                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1219      ,80        ,324       ,388       ,187       ,81        ,159
141       ,ברק                      ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,416       ,37        ,76        ,154       ,40        ,39        ,70
142       ,שדה יעקב                 ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1081      ,136       ,338       ,362       ,82        ,68        ,95
143       ,בית זרע                  ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,744       ,38        ,99        ,286       ,70        ,68        ,183
144       ,גן שלמה                  ,44        ,רחובות                   ,44        ,רחובות                   ,28        ,ברנר                     ,590       ,75        ,114       ,206       ,53        ,46        ,96
145       ,גדיש                     ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,364       ,26        ,66        ,111       ,69        ,39        ,53
146       ,דבורה                    ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,313       ,22        ,67        ,86        ,46        ,31        ,61
147       ,גבעת ברנר                ,44        ,רחובות                   ,44        ,רחובות                   ,28        ,ברנר                     ,2768      ,184       ,616       ,923       ,399       ,171       ,475
154       ,תל מונד                  ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,13587     ,979       ,3614      ,4561      ,2246      ,1086      ,1101
155       ,באר טוביה                ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,1158      ,109       ,293       ,370       ,147       ,73        ,166
156       ,עיינות                   ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,150       ,19        ,25        ,82        ,11        ,6         ,7
157       ,עין ורד                  ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1610      ,118       ,447       ,495       ,252       ,111       ,187
158       ,נען                      ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,1823      ,196       ,325       ,694       ,184       ,104       ,320
159       ,בית חנן                  ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,716       ,52        ,132       ,239       ,94        ,68        ,131
160       ,חולדה                    ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,1081      ,140       ,336       ,334       ,115       ,61        ,95
162       ,חירות                    ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1407      ,106       ,393       ,418       ,243       ,107       ,140
163       ,תימורים                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,859       ,56        ,168       ,300       ,135       ,103       ,97
164       ,מלאה                     ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,401       ,41        ,81        ,154       ,46        ,37        ,42
165       ,ניר יפה                  ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,653       ,55        ,215       ,214       ,48        ,35        ,86
166       ,גן יבנה                  ,44        ,רחובות                   ,44        ,רחובות                   ,0         ,                         ,23952     ,1827      ,6275      ,8749      ,3412      ,1878      ,1811
167       ,עין החורש                ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,909       ,81        ,142       ,292       ,94        ,71        ,229
168       ,כפר יונה                 ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,22347     ,2091      ,5398      ,8270      ,2613      ,1810      ,2165
170       ,כפר יעבץ                 ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,725       ,75        ,172       ,251       ,91        ,61        ,75
171       ,פרדסיה                   ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,6595      ,441       ,1192      ,2534      ,809       ,843       ,776
173       ,גבעת חיים )מאוחד(        ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1196      ,85        ,214       ,421       ,141       ,73        ,262
174       ,נטעים                    ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,765       ,45        ,192       ,251       ,141       ,58        ,78
175       ,אביחיל                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1385      ,121       ,304       ,414       ,174       ,129       ,243
176       ,אפיקים                   ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,1394      ,85        ,217       ,484       ,155       ,125       ,328
177       ,כפר ביל"ו                ,44        ,רחובות                   ,44        ,רחובות                   ,30        ,גזר                      ,1217      ,105       ,223       ,428       ,166       ,113       ,182
178       ,רמת יוחנן                ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,1146      ,108       ,186       ,455       ,122       ,97        ,178
182       ,אבן יהודה                ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,14351     ,1103      ,3500      ,4727      ,1875      ,1168      ,1978
183       ,ירקונה                   ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,401       ,17        ,93        ,114       ,86        ,26        ,65
184       ,רמת הכובש                ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,999       ,99        ,202       ,310       ,105       ,56        ,227
186       ,נעורים                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,231       ,23        ,25        ,96        ,33        ,23        ,31
187       ,כפר הס                   ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1493      ,99        ,361       ,483       ,282       ,116       ,152
188       ,אשדות יעקב  )מאוחד(      ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,644       ,36        ,106       ,223       ,80        ,75        ,124
189       ,כפר פינס                 ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,629       ,85        ,178       ,208       ,47        ,33        ,78
190       ,כפר ויתקין               ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1996      ,135       ,470       ,645       ,334       ,167       ,245
191       ,הדר עם                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,797       ,81        ,209       ,242       ,113       ,56        ,96
192       ,כפר החורש                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,682       ,85        ,119       ,252       ,56        ,62        ,108
193       ,כפר חיים                 ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,593       ,55        ,124       ,189       ,73        ,51        ,101
194       ,משמר השרון               ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,766       ,92        ,119       ,268       ,85        ,65        ,137
195       ,קדימה-צורן               ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,22349     ,1915      ,5476      ,7826      ,3333      ,2012      ,1787
196       ,גיבתון                   ,44        ,רחובות                   ,44        ,רחובות                   ,28        ,ברנר                     ,352       ,41        ,69        ,112       ,29        ,26        ,75
197       ,מעברות                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1063      ,111       ,170       ,346       ,109       ,86        ,241
198       ,צופית                    ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,1094      ,55        ,283       ,316       ,202       ,82        ,156
199       ,אשדות יעקב  )איחוד(      ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,977       ,84        ,243       ,364       ,97        ,67        ,122
200       ,בית ינאי                 ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,427       ,29        ,83        ,132       ,67        ,38        ,78
202       ,בית עובד                 ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,357       ,24        ,82        ,95        ,53        ,30        ,73
204       ,אלישיב                   ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,728       ,71        ,180       ,260       ,70        ,48        ,99
205       ,חגלה                     ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,808       ,54        ,264       ,223       ,159       ,30        ,78
206       ,רמות השבים               ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,1621      ,131       ,372       ,492       ,231       ,158       ,237
207       ,גבעת ח"ן                 ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,394       ,32        ,73        ,122       ,41        ,46        ,80
208       ,מוצא עילית               ,11        ,ירושלים                  ,11        ,ירושלים                  ,26        ,מטה יהודה                ,1116      ,74        ,171       ,338       ,135       ,114       ,284
212       ,בית צבי                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,129       ,34        ,31        ,56        ,3         ,1         ,4
213       ,משמרות                   ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,929       ,96        ,288       ,291       ,117       ,46        ,91
217       ,כפר הרא"ה                ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,1257      ,152       ,390       ,393       ,111       ,66        ,145
218       ,גני עם                   ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,277       ,17        ,47        ,75        ,45        ,29        ,64
219       ,חיבת ציון                ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,625       ,67        ,139       ,220       ,60        ,67        ,72
220       ,כפר ביאליק               ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,617       ,53        ,117       ,196       ,70        ,52        ,129
223       ,עין עירון                ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,591       ,56        ,130       ,207       ,84        ,48        ,66
224       ,שושנת העמקים             ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,597       ,41        ,99        ,221       ,75        ,60        ,101
225       ,גן השומרון               ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,848       ,67        ,176       ,295       ,104       ,84        ,122
229       ,גני תקווה                ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,0         ,                         ,19739     ,1893      ,4355      ,6516      ,2344      ,1663      ,2968
230       ,מעש                      ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,20        ,דרום השרון               ,957       ,90        ,179       ,310       ,113       ,73        ,192
232       ,שפיים                    ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,1429      ,123       ,304       ,489       ,188       ,111       ,214
233       ,כפר ידידיה               ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,733       ,51        ,202       ,215       ,112       ,42        ,111
234       ,ביצרון                   ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,1208      ,109       ,287       ,386       ,174       ,90        ,162
235       ,חבצלת השרון              ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,476       ,30        ,92        ,128       ,69        ,44        ,113
237       ,שער העמקים               ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,748       ,71        ,113       ,250       ,81        ,60        ,173
239       ,גן חיים                  ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,723       ,48        ,150       ,243       ,106       ,90        ,86
240       ,יקנעם עילית              ,23        ,עפולה                    ,23        ,עפולה                    ,0         ,                         ,24674     ,2036      ,5397      ,9080      ,3322      ,2041      ,2798
241       ,יקנעם )מושבה(            ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,1431      ,148       ,272       ,490       ,148       ,119       ,254
242       ,בית השיטה                ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,1513      ,127       ,290       ,492       ,191       ,96        ,317
246       ,נתיבות                   ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,36612     ,5066      ,10019     ,13715     ,2992      ,2254      ,2566
247       ,רשפון                    ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,1298      ,114       ,311       ,435       ,183       ,96        ,159
248       ,בית שערים                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,712       ,74        ,162       ,242       ,78        ,41        ,115
249       ,כפר סירקין               ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,20        ,דרום השרון               ,1429      ,121       ,369       ,441       ,219       ,82        ,197
250       ,הזורע                    ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,1215      ,66        ,170       ,409       ,136       ,112       ,322
252       ,ביתן אהרן                ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,210       ,10        ,36        ,59        ,14        ,10        ,81
253       ,חולתה                    ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,646       ,88        ,123       ,242       ,53        ,48        ,92
254       ,כפר המכבי                ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,410       ,32        ,78        ,130       ,54        ,34        ,82
255       ,כפר חיטים                ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,745       ,38        ,190       ,283       ,97        ,64        ,73
256       ,ניר דוד )תל עמל(         ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,858       ,66        ,175       ,288       ,97        ,67        ,165
257       ,נופך                     ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,25        ,חבל מודיעין              ,525       ,64        ,88        ,206       ,63        ,49        ,55
259       ,שדה נחום                 ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,710       ,55        ,186       ,244       ,112       ,43        ,70
262       ,גינוסר                   ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,723       ,52        ,113       ,248       ,67        ,65        ,178
263       ,מסדה                     ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,368       ,31        ,53        ,147       ,43        ,28        ,66
264       ,שער הגולן                ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,632       ,40        ,96        ,196       ,71        ,52        ,177
265       ,בית יוסף                 ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,456       ,37        ,73        ,178       ,54        ,60        ,54
267       ,כפר שמריהו               ,51        ,תל אביב                  ,57        ,הרצליה                   ,0         ,                         ,2421      ,117       ,439       ,679       ,296       ,278       ,612
268       ,טירת צבי                 ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,912       ,122       ,255       ,335       ,40        ,47        ,113
269       ,מולדת                    ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,1178      ,99        ,305       ,393       ,180       ,71        ,130
270       ,עין השופט                ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,1181      ,57        ,155       ,458       ,114       ,98        ,299
