town_number,town‪_‬name,region_number,region,sector_number,sector,muni_number,muni,total,age_0-6,age_6-18,age_19-45,age_46-55,age_56-64,age_65+
1103      ,גני הדר                  ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,328       ,31        ,60        ,117       ,41        ,41        ,38
1104      ,פוריה - כפר עבודה        ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,379       ,33        ,65        ,157       ,38        ,52        ,34
1105      ,פוריה - נווה עובד        ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,1418      ,144       ,272       ,554       ,150       ,170       ,128
1108      ,אומן                     ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,469       ,42        ,88        ,177       ,58        ,51        ,53
1110      ,חבר                      ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,506       ,54        ,144       ,189       ,70        ,30        ,19
1112      ,יודפת                    ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,942       ,116       ,265       ,346       ,103       ,47        ,65
1113      ,צור הדסה                 ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,7074      ,654       ,1930      ,2506      ,947       ,551       ,486
1114      ,שריגים )לי-און(          ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,1100      ,73        ,229       ,423       ,188       ,127       ,60
1115      ,אביבים                   ,21        ,צפת                      ,21        ,צפת                      ,2         ,מרום הגליל               ,506       ,47        ,130       ,196       ,58        ,26        ,49
1117      ,יעל                      ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,35        ,4         ,4         ,16        ,6         ,4         ,1
1123      ,אדרת                     ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,879       ,95        ,250       ,308       ,130       ,43        ,53
1124      ,נאות הכיכר               ,62        ,באר שבע                  ,62        ,באר שבע                  ,51        ,תמר                      ,281       ,16        ,57        ,91        ,37        ,17        ,63
1125      ,אלמגור                   ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,398       ,37        ,97        ,117       ,48        ,14        ,85
1126      ,אילות                    ,62        ,באר שבע                  ,63        ,אילת                     ,53        ,חבל אילות                ,346       ,32        ,50        ,144       ,22        ,41        ,57
1127      ,מעלה גלבוע               ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,687       ,124       ,212       ,260       ,33        ,32        ,26
1128      ,מי עמי                   ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,393       ,49        ,91        ,139       ,32        ,38        ,44
1129      ,גרופית                   ,62        ,באר שבע                  ,63        ,אילת                     ,53        ,חבל אילות                ,397       ,29        ,58        ,145       ,48        ,57        ,60
1130      ,כפר רוזנואלד )זרעית(     ,24        ,עכו                      ,24        ,עכו                      ,52        ,מעלה יוסף                ,301       ,22        ,56        ,108       ,44        ,12        ,59
1132      ,שניר                     ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,585       ,48        ,132       ,217       ,73        ,66        ,49
1133      ,ורדון                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,35        ,יואב                     ,320       ,32        ,70        ,129       ,44        ,32        ,13
1134      ,יד השמונה                ,11        ,ירושלים                  ,11        ,ירושלים                  ,26        ,מטה יהודה                ,278       ,36        ,68        ,104       ,28        ,14        ,28
1136      ,צוחר                     ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,594       ,51        ,98        ,281       ,64        ,53        ,47
1137      ,קרית יערים               ,11        ,ירושלים                  ,13        ,בית שמש                  ,0         ,                         ,5760      ,1054      ,1688      ,2156      ,324       ,281       ,257
1138      ,יעד                      ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,792       ,45        ,202       ,273       ,125       ,74        ,73
1139      ,כרמיאל                   ,24        ,עכו                      ,20        ,כרמיאל                   ,0         ,                         ,53618     ,3529      ,8559      ,18729     ,6207      ,6021      ,10573
1140      ,מדרשת בן גוריון          ,62        ,באר שבע                  ,62        ,באר שבע                  ,48        ,רמת נגב                  ,1766      ,153       ,453       ,672       ,217       ,145       ,126
1141      ,מבוא מודיעים             ,43        ,רמלה                     ,43        ,רמלה                     ,25        ,חבל מודיעין              ,254       ,24        ,46        ,108       ,9         ,25        ,42
1143      ,נס עמים                  ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,406       ,57        ,122       ,163       ,37        ,14        ,13
1145      ,אלומה                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,34        ,שפיר                     ,519       ,68        ,139       ,197       ,48        ,48        ,19
1146      ,עלומים                   ,62        ,באר שבע                  ,62        ,באר שבע                  ,39        ,שדות נגב                 ,520       ,62        ,109       ,213       ,30        ,42        ,64
1147      ,נטועה                    ,24        ,עכו                      ,24        ,עכו                      ,52        ,מעלה יוסף                ,325       ,31        ,62        ,106       ,48        ,16        ,62
1148      ,צור נתן                  ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,318       ,25        ,67        ,105       ,46        ,16        ,59
1149      ,עזר                      ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,835       ,40        ,170       ,330       ,117       ,138       ,40
1150      ,צופר                     ,62        ,באר שבע                  ,63        ,אילת                     ,54        ,הערבה התיכונה            ,470       ,57        ,72        ,194       ,52        ,72        ,23
1151      ,פארן                     ,62        ,באר שבע                  ,63        ,אילת                     ,54        ,הערבה התיכונה            ,531       ,52        ,108       ,199       ,56        ,55        ,61
1152      ,אשלים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,48        ,רמת נגב                  ,593       ,63        ,148       ,242       ,65        ,47        ,28
1153      ,כישור                    ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,121       ,0         ,0         ,52        ,35        ,22        ,12
1154      ,מלכישוע                  ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,13        ,0         ,2         ,8         ,2         ,0         ,1
1155      ,מגן שאול                 ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,688       ,105       ,145       ,255       ,58        ,47        ,78
1156      ,סמר                      ,62        ,באר שבע                  ,63        ,אילת                     ,53        ,חבל אילות                ,300       ,9         ,62        ,132       ,43        ,46        ,8
1157      ,אחווה                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,208       ,9         ,7         ,52        ,14        ,35        ,91
1158      ,יהל                      ,62        ,באר שבע                  ,63        ,אילת                     ,53        ,חבל אילות                ,306       ,29        ,43        ,116       ,40        ,74        ,4
1160      ,שכניה                    ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,869       ,63        ,214       ,310       ,142       ,87        ,53
1161      ,רהט                      ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,63371     ,10538     ,21870     ,24195     ,3737      ,1582      ,1449
1162      ,בית רימון                ,23        ,עפולה                    ,23        ,עפולה                    ,3         ,הגליל התחתון             ,718       ,133       ,245       ,260       ,33        ,40        ,7
1163      ,מורן                     ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,473       ,39        ,116       ,169       ,50        ,54        ,45
1165      ,שילת                     ,43        ,רמלה                     ,43        ,רמלה                     ,25        ,חבל מודיעין              ,739       ,75        ,196       ,239       ,110       ,50        ,69
1166      ,כפר רות                  ,43        ,רמלה                     ,43        ,רמלה                     ,25        ,חבל מודיעין              ,242       ,42        ,22        ,95        ,9         ,29        ,45
1167      ,קיסריה                   ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,6204      ,300       ,1207      ,1882      ,956       ,773       ,1086
1169      ,הוואשלה )שבט(            ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,2793      ,526       ,943       ,1063      ,139       ,61        ,61
1170      ,סייד )שבט(               ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,3834      ,729       ,1447      ,1350      ,147       ,82        ,79
1171      ,לוטם                     ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,758       ,67        ,222       ,270       ,110       ,56        ,33
1172      ,תובל                     ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,406       ,21        ,96        ,132       ,78        ,62        ,17
1173      ,לפידות                   ,24        ,עכו                      ,24        ,עכו                      ,52        ,מעלה יוסף                ,158       ,12        ,15        ,68        ,4         ,43        ,16
1174      ,מנוף                     ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,915       ,61        ,225       ,332       ,124       ,96        ,77
1175      ,עידן                     ,62        ,באר שבע                  ,62        ,באר שבע                  ,54        ,הערבה התיכונה            ,459       ,40        ,129       ,168       ,51        ,44        ,27
1176      ,ספיר                     ,62        ,באר שבע                  ,63        ,אילת                     ,54        ,הערבה התיכונה            ,480       ,42        ,133       ,172       ,62        ,37        ,34
1177      ,טללים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,48        ,רמת נגב                  ,501       ,59        ,174       ,178       ,70        ,17        ,3
1178      ,מורשת                    ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,1623      ,124       ,570       ,575       ,207       ,81        ,66
1179      ,קורנית                   ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,926       ,72        ,234       ,330       ,131       ,101       ,58
1180      ,צביה                     ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,335       ,14        ,62        ,104       ,53        ,74        ,28
1181      ,טל-אל                    ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,1289      ,85        ,317       ,458       ,203       ,117       ,109
1182      ,אלון הגליל               ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1142      ,80        ,263       ,426       ,154       ,179       ,40
1183      ,כליל                     ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,713       ,88        ,187       ,253       ,97        ,49        ,39
1184      ,מתת                      ,24        ,עכו                      ,24        ,עכו                      ,52        ,מעלה יוסף                ,211       ,14        ,40        ,88        ,22        ,31        ,16
1185      ,פלך                      ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,148       ,41        ,25        ,69        ,5         ,5         ,3
1186      ,הושעיה                   ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,2139      ,176       ,651       ,794       ,231       ,198       ,89
1187      ,עיר אובות                ,62        ,באר שבע                  ,62        ,באר שבע                  ,54        ,הערבה התיכונה            ,57        ,2         ,22        ,16        ,9         ,4         ,4
1188      ,אשחר                     ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,931       ,121       ,308       ,332       ,111       ,35        ,24
1190      ,מצפה נטופה               ,23        ,עפולה                    ,23        ,עפולה                    ,3         ,הגליל התחתון             ,1065      ,125       ,322       ,384       ,107       ,80        ,47
1191      ,בר יוחאי                 ,21        ,צפת                      ,21        ,צפת                      ,2         ,מרום הגליל               ,1123      ,119       ,461       ,366       ,117       ,35        ,25
1192      ,ערערה-בנגב               ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,17133     ,2862      ,6427      ,6309      ,834       ,379       ,322
1195      ,ניצנה )קהילת חינוך(      ,62        ,באר שבע                  ,62        ,באר שבע                  ,48        ,רמת נגב                  ,188       ,12        ,22        ,135       ,9         ,8         ,2
1196      ,מחנה יתיר                ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,227       ,71        ,83        ,68        ,2         ,2         ,1
1197      ,נאות סמדר                ,62        ,באר שבע                  ,63        ,אילת                     ,53        ,חבל אילות                ,231       ,20        ,35        ,100       ,17        ,45        ,14
1198      ,כרמים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,41        ,בני שמעון                ,406       ,69        ,130       ,143       ,43        ,16        ,5
1199      ,עדי                      ,24        ,עכו                      ,24        ,עכו                      ,9         ,עמק יזרעאל               ,2059      ,145       ,441       ,758       ,314       ,208       ,193
1200      ,מודיעין-מכבים-רעות       ,43        ,רמלה                     ,43        ,רמלה                     ,0         ,                         ,93447     ,7670      ,26195     ,32110     ,13384     ,6831      ,7257
1201      ,כמון                     ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,780       ,50        ,214       ,274       ,115       ,82        ,45
1202      ,מכמנים                   ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,506       ,62        ,111       ,178       ,62        ,63        ,30
1203      ,הררית                    ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,504       ,54        ,143       ,153       ,57        ,42        ,55
1204      ,גילון                    ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,1200      ,66        ,264       ,447       ,200       ,152       ,71
1205      ,מנות                     ,24        ,עכו                      ,24        ,עכו                      ,52        ,מעלה יוסף                ,476       ,50        ,88        ,204       ,60        ,57        ,17
1206      ,גיתה                     ,24        ,עכו                      ,24        ,עכו                      ,52        ,מעלה יוסף                ,284       ,13        ,73        ,86        ,39        ,47        ,26
1207      ,לבון                     ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,719       ,49        ,264       ,222       ,104       ,30        ,50
1208      ,הילה                     ,24        ,עכו                      ,24        ,עכו                      ,52        ,מעלה יוסף                ,659       ,30        ,161       ,214       ,125       ,87        ,42
1209      ,חרשים                    ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,315       ,31        ,67        ,120       ,29        ,45        ,23
1210      ,כחל                      ,21        ,צפת                      ,21        ,צפת                      ,55        ,מבואות החרמון            ,466       ,51        ,76        ,192       ,30        ,73        ,44
1211      ,קדרים                    ,22        ,כנרת                     ,22        ,טבריה                    ,1         ,הגליל העליון             ,255       ,24        ,56        ,87        ,52        ,35        ,1
1212      ,עמוקה                    ,21        ,צפת                      ,21        ,צפת                      ,2         ,מרום הגליל               ,167       ,8         ,9         ,66        ,8         ,40        ,36
1213      ,צבעון                    ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,174       ,26        ,52        ,63        ,26        ,5         ,2
1214      ,טפחות                    ,22        ,כנרת                     ,22        ,טבריה                    ,2         ,מרום הגליל               ,427       ,70        ,115       ,174       ,19        ,42        ,7
1219      ,גורנות הגליל             ,24        ,עכו                      ,24        ,עכו                      ,52        ,מעלה יוסף                ,206       ,20        ,18        ,94        ,19        ,40        ,15
1220      ,אבירים                   ,24        ,עכו                      ,24        ,עכו                      ,52        ,מעלה יוסף                ,259       ,22        ,35        ,118       ,24        ,35        ,25
1221      ,צורית                    ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,958       ,66        ,213       ,344       ,149       ,121       ,65
1222      ,מצפה אבי"ב               ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,1054      ,93        ,286       ,396       ,141       ,95        ,43
1223      ,שדי אברהם                ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,377       ,33        ,99        ,144       ,55        ,22        ,24
1224      ,כוכב יאיר                ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,0         ,                         ,10310     ,497       ,2039      ,3588      ,1577      ,1321      ,1288
1225      ,רביד                     ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,108       ,20        ,8         ,68        ,11        ,1         ,0
1226      ,יובלים                   ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,1447      ,100       ,348       ,491       ,181       ,137       ,190
1227      ,יתד                      ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,463       ,78        ,95        ,191       ,37        ,40        ,22
1228      ,רקפת                     ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,1059      ,74        ,265       ,388       ,165       ,113       ,54
1229      ,כלנית                    ,22        ,כנרת                     ,22        ,טבריה                    ,2         ,מרום הגליל               ,263       ,47        ,37        ,113       ,13        ,44        ,9
1230      ,לבנים                    ,22        ,כנרת                     ,22        ,טבריה                    ,2         ,מרום הגליל               ,473       ,41        ,104       ,174       ,59        ,61        ,34
1231      ,פרי גן                   ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,242       ,28        ,56        ,89        ,21        ,18        ,30
1232      ,יבול                     ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,360       ,53        ,97        ,131       ,20        ,26        ,33
1233      ,שקף                      ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,388       ,67        ,56        ,173       ,28        ,40        ,24
1234      ,קבועה )שבט(              ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,1608      ,262       ,580       ,597       ,81        ,43        ,45
1235      ,שורשים                   ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,549       ,47        ,127       ,207       ,71        ,53        ,44
1236      ,נירית                    ,42        ,פתח תקווה                ,349       ,ראש העין                 ,20        ,דרום השרון               ,1060      ,55        ,184       ,367       ,155       ,182       ,117
1237      ,תלמי יוסף                ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,368       ,30        ,79        ,128       ,45        ,43        ,43
1238      ,סופה                     ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,218       ,4         ,37        ,84        ,48        ,31        ,14
1239      ,חולית                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,189       ,18        ,38        ,85        ,23        ,23        ,2
1240      ,עין הבשור                ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,1202      ,116       ,360       ,390       ,168       ,29        ,139
1241      ,דקל                      ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,374       ,43        ,80        ,130       ,40        ,22        ,59
1242      ,נתיב העשרה               ,61        ,אשקלון                   ,61        ,אשקלון                   ,36        ,חוף אשקלון               ,983       ,99        ,244       ,339       ,133       ,36        ,132
1243      ,קציר                     ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,3106      ,207       ,749       ,1060      ,528       ,314       ,248
1244      ,תמרת                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1501      ,105       ,200       ,529       ,147       ,230       ,290
1245      ,סלמה                     ,24        ,עכו                      ,20        ,כרמיאל                   ,56        ,משגב                     ,3472      ,388       ,1007      ,1486      ,303       ,138       ,150
1246      ,עראמשה                   ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,1547      ,157       ,385       ,658       ,152       ,85        ,110
1247      ,חריש                     ,32        ,חדרה                     ,32        ,חדרה                     ,0         ,                         ,4115      ,960       ,1006      ,1621      ,235       ,128       ,165
1248      ,אליפז                    ,62        ,באר שבע                  ,63        ,אילת                     ,53        ,חבל אילות                ,186       ,17        ,49        ,73        ,32        ,14        ,1
1249      ,הרדוף                    ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,599       ,47        ,147       ,224       ,95        ,73        ,13
1251      ,עין תמר                  ,62        ,באר שבע                  ,62        ,באר שבע                  ,51        ,תמר                      ,197       ,9         ,43        ,80        ,21        ,37        ,7
1252      ,כורזים                   ,21        ,צפת                      ,21        ,צפת                      ,55        ,מבואות החרמון            ,412       ,11        ,64        ,153       ,40        ,59        ,85
