town_number,town_h,year,property_crimes,motor_thefts,drugs,assults,sexual_assult,robberies,spousal
9200,בית שאן   ,2011,258,13,88,184,20,1,77
9200,בית שאן   ,2012,283,15,121,133,13,1,67
9200,בית שאן   ,2013,269,4,97,169,22,0,90
2610,בית שמש   ,2011,972,112,118,420,51,5,216
2610,בית שמש   ,2012,1200,180,97,445,78,11,234
2610,בית שמש   ,2013,752,73,139,448,76,11,254
3780,ביתר עלית ,2011,142,17,16,84,22,0,58
3780,ביתר עלית ,2012,130,16,34,86,35,0,31
3780,ביתר עלית ,2013,145,21,31,86,28,2,39
6100,בני ברק   ,2011,1766,235,132,433,103,41,237
6100,בני ברק   ,2012,1625,227,180,457,108,28,184
6100,בני ברק   ,2013,1506,195,187,449,111,21,197
1066,"בני עי""ש  ",2011,123,23,7,45,5,2,22
1066,"בני עי""ש  ",2012,113,27,14,40,5,0,24
1066,"בני עי""ש  ",2013,78,14,30,45,2,0,27
9800,בנימינה   ,2011,271,39,68,28,10,3,17
9800,בנימינה   ,2012,250,29,32,34,4,4,13
9800,בנימינה   ,2013,341,67,17,37,5,1,19
1326,בסמה      ,2011,34,0,4,17,0,0,6
1326,בסמה      ,2012,30,3,6,19,0,0,5
1326,בסמה      ,2013,35,1,2,15,0,0,4
944,בסמת טבעון,2011,61,5,3,28,3,4,9
944,בסמת טבעון,2012,51,2,3,25,1,2,12
944,בסמת טבעון,2013,57,1,8,30,0,2,8
482,בעינה-נג'י,2011,28,2,6,46,2,0,13
482,בעינה-נג'י,2012,42,0,1,56,5,0,18
482,בעינה-נג'י,2013,27,0,5,48,2,0,24
4001,בקעתא     ,2011,17,0,2,9,0,0,2
4001,בקעתא     ,2012,8,0,2,15,0,0,1
4001,בקעתא     ,2013,8,1,13,7,0,0,2
1319,בת חפר    ,2011,34,1,1,10,2,0,12
1319,בת חפר    ,2012,27,2,36,15,1,0,12
1319,בת חפר    ,2013,20,3,3,16,2,0,11
6200,בת ים     ,2011,3356,268,755,858,68,67,658
6200,בת ים     ,2012,3186,303,741,805,91,85,651
6200,בת ים     ,2013,3002,275,643,856,87,57,652
1292,ג'דידה-מכר,2011,181,6,281,90,1,3,37
1292,ג'דידה-מכר,2012,176,5,192,100,2,1,48
1292,ג'דידה-מכר,2013,167,0,156,97,3,11,36
3763,גבע בנימין,2011,56,4,22,22,3,0,17
3763,גבע בנימין,2012,54,2,30,33,3,0,31
3763,גבע בנימין,2013,61,6,30,32,2,3,22
1293,גבעת אבני ,2011,23,2,1,3,0,0,2
1293,גבעת אבני ,2012,29,0,5,3,1,0,2
1293,גבעת אבני ,2013,20,2,5,10,0,0,4
147,גבעת ברנר ,2011,73,7,2,7,3,0,4
147,גבעת ברנר ,2012,90,15,5,6,1,0,1
147,גבעת ברנר ,2013,50,6,4,8,1,0,3
3730,גבעת זאב  ,2011,88,17,6,43,8,1,28
3730,גבעת זאב  ,2012,102,29,3,47,4,0,32
3730,גבעת זאב  ,2013,98,9,18,44,6,0,21
681,גבעת שמואל,2011,338,114,15,50,9,0,53
681,גבעת שמואל,2012,343,116,33,51,6,4,55
681,גבעת שמואל,2013,315,55,33,48,5,5,41
6300,גבעתים    ,2011,825,90,198,128,12,6,103
6300,גבעתים    ,2012,809,81,105,139,16,7,110
6300,גבעתים    ,2013,890,86,83,146,29,8,112
2550,גדרה      ,2011,442,59,23,68,8,4,47
2550,גדרה      ,2012,410,59,35,89,11,3,54
2550,גדרה      ,2013,351,41,45,74,19,3,69
485,גולס      ,2011,17,0,3,18,0,1,8
485,גולס      ,2012,26,1,11,24,2,0,8
485,גולס      ,2013,19,1,8,32,2,0,3
487,גוש חלב   ,2011,43,0,2,15,1,0,5
487,גוש חלב   ,2012,45,1,4,12,1,1,3
487,גוש חלב   ,2013,39,2,3,11,1,0,1
627,גלגוליה   ,2011,70,13,18,41,3,0,21
627,גלגוליה   ,2012,86,16,11,31,2,1,19
627,גלגוליה   ,2013,100,23,14,41,0,1,22
166,גן יבנה   ,2011,429,49,15,72,6,1,61
166,גן יבנה   ,2012,324,50,22,69,11,1,67
166,גן יבנה   ,2013,293,35,25,62,9,4,38
1274,גן נר     ,2011,24,0,0,3,0,0,3
1274,גן נר     ,2012,9,0,5,3,0,0,1
1274,גן נר     ,2013,13,0,0,5,0,0,8
229,גני תקוה  ,2011,176,50,17,22,2,0,25
229,גני תקוה  ,2012,179,50,28,26,5,0,18
229,גני תקוה  ,2013,168,28,26,29,3,1,18
541,גסר א-זרקא,2011,280,4,204,161,3,2,41
541,גסר א-זרקא,2012,347,9,247,229,4,9,48
541,גסר א-זרקא,2013,340,2,223,201,5,3,43
494,דאלית אל-כ,2011,135,4,16,97,4,5,33
494,דאלית אל-כ,2012,89,9,31,61,3,0,21
494,דאלית אל-כ,2013,84,4,15,56,5,0,28
489,דבוריה    ,2011,115,16,5,30,3,9,12
489,דבוריה    ,2012,94,10,11,44,3,4,5
489,דבוריה    ,2013,82,5,7,45,2,4,11
2200,דימונה    ,2011,562,61,118,226,29,12,130
2200,דימונה    ,2012,661,26,111,261,31,13,166
2200,דימונה    ,2013,811,50,174,329,53,15,182
492,דיר חנא   ,2011,44,3,20,38,0,0,17
492,דיר חנא   ,2012,50,2,18,61,4,1,20
492,דיר חנא   ,2013,44,1,29,54,1,1,14
9700,הוד השרון ,2011,1170,254,46,188,19,4,138
9700,הוד השרון ,2012,1257,247,58,153,58,8,103
9700,הוד השרון ,2013,1179,211,71,148,29,8,107
3769,הר אדר    ,2011,15,0,0,8,1,0,1
3769,הר אדר    ,2012,14,0,2,6,1,0,4
3769,הר אדר    ,2013,16,0,0,6,0,0,5
6400,הרצליה    ,2011,2034,209,349,328,46,13,196
6400,הרצליה    ,2012,2378,199,368,361,38,13,220
6400,הרצליה    ,2013,2138,156,318,343,51,13,191
9300,זכרון יעקב,2011,401,53,91,59,14,0,40
9300,זכרון יעקב,2012,322,9,55,63,17,2,35
9300,זכרון יעקב,2013,360,29,60,84,18,3,28
1290,זמר       ,2011,49,10,2,22,2,2,11
1290,זמר       ,2012,42,8,6,17,3,1,10
1290,זמר       ,2013,47,4,11,17,2,1,8
975,זרזיר     ,2011,106,12,4,50,3,1,11
975,זרזיר     ,2012,88,11,2,40,5,2,12
975,זרזיר     ,2013,76,4,0,56,1,2,14
6500,חדרה      ,2011,2534,298,432,559,69,38,244
6500,חדרה      ,2012,2298,247,411,575,78,33,258
6500,חדרה      ,2013,2186,253,369,658,73,13,316
6600,חולון     ,2011,3760,422,475,835,76,50,666
6600,חולון     ,2012,3396,409,373,799,82,71,641
6600,חולון     ,2013,3602,445,399,890,95,54,640
1303,חורה      ,2011,91,2,9,52,3,2,5
1303,חורה      ,2012,69,4,3,57,1,3,15
1303,חורה      ,2013,96,3,6,52,3,6,27
4000,חיפה      ,2011,9656,603,1495,2357,175,211,1121
4000,חיפה      ,2012,9472,591,1393,2075,192,196,1067
4000,חיפה      ,2013,8264,437,1275,2029,191,162,1062
2034,חצ הגלילית,2011,157,4,40,66,6,1,30
2034,חצ הגלילית,2012,134,5,29,49,3,0,33
2034,חצ הגלילית,2013,123,4,37,45,10,0,24
1247,חריש      ,2011,72,5,25,26,0,0,13
1247,חריש      ,2012,31,6,3,12,2,0,6
1247,חריש      ,2013,17,2,4,3,1,0,3
496,חרפיש     ,2011,19,0,0,13,0,0,5
496,חרפיש     ,2012,15,0,1,10,0,0,5
496,חרפיש     ,2013,13,1,1,18,0,0,5
3770,חשמונאים  ,2011,13,1,26,15,1,0,8
3770,חשמונאים  ,2012,14,0,7,7,1,0,4
3770,חשמונאים  ,2013,16,1,5,8,2,0,3
6700,טבריה     ,2011,1154,69,365,405,61,15,194
6700,טבריה     ,2012,1316,79,479,407,69,13,200
6700,טבריה     ,2013,1164,61,458,422,68,13,203
962,טובה זנגרי,2011,153,2,35,70,2,0,15
962,טובה זנגרי,2012,102,7,50,81,2,1,24
962,טובה זנגרי,2013,108,2,37,69,1,0,25
2730,טיבה      ,2011,372,85,192,203,11,5,104
2730,טיבה      ,2012,311,63,177,170,6,4,91
2730,טיבה      ,2013,373,67,196,184,6,12,98
2720,טירה      ,2011,295,63,95,158,9,4,78
2720,טירה      ,2012,362,51,88,167,6,7,85
2720,טירה      ,2013,340,70,86,162,12,4,63
2100,טירת כרמל ,2011,451,21,266,190,15,5,127
2100,טירת כרמל ,2012,393,9,158,173,9,6,114
2100,טירת כרמל ,2013,336,10,196,194,12,1,117
3788,טלמון     ,2011,6,1,1,4,2,0,1
3788,טלמון     ,2012,23,0,5,5,0,0,1
3788,טלמון     ,2013,27,0,1,4,2,0,2
8900,טמרה      ,2011,357,22,107,203,3,2,30
8900,טמרה      ,2012,324,18,101,220,4,5,51
8900,טמרה      ,2013,281,16,103,191,7,10,44
498,טרעאן     ,2011,92,8,8,49,1,1,12
498,טרעאן     ,2012,79,2,9,61,0,0,16
498,טרעאן     ,2013,77,3,46,73,4,0,20
1295,יאנוח-ג'ת ,2011,32,1,4,21,0,0,10
1295,יאנוח-ג'ת ,2012,18,0,0,10,1,0,3
1295,יאנוח-ג'ת ,2013,14,0,3,10,0,0,9
46,יבנאל     ,2011,75,9,73,17,2,1,11
46,יבנאל     ,2012,78,3,9,15,5,1,11
46,יבנאל     ,2013,58,4,48,21,0,0,11
2660,יבנה      ,2011,733,91,53,157,20,6,119
2660,יבנה      ,2012,791,91,69,152,72,4,120
2660,יבנה      ,2013,667,112,80,170,18,8,132
577,יד בנימין ,2011,33,5,1,4,0,0,1
577,יד בנימין ,2012,66,9,0,3,0,0,1
577,יד בנימין ,2013,30,2,0,1,0,0,1
9400,יהוד      ,2011,471,72,71,122,14,1,88
9400,יהוד      ,2012,522,96,67,96,9,5,66
9400,יהוד      ,2013,485,87,57,103,17,5,70
499,יפיע      ,2011,97,7,29,65,1,1,15
